,0,1,2
0,Mon Apr 12 02:27:34 +0000 2021,1381433783170269187,"i rarely go anywhere without this cd. all these years, and it lived in many a car (had to get it out for this pic).… https://t.co/xo97rsibzc"
1,Mon Apr 12 02:27:34 +0000 2021,1381433784990625794,rt @kisarvgi: ex’act is the album for the gurls who really listen to music😌 #exotictherapysessions
2,Mon Apr 12 02:27:34 +0000 2021,1381433785212760066,"rt @votewithami: [📈 rate] 

⏰ overall estimate 

🏆: best music video — iheart awards

1. bts - 4.8m

2.         - 2.2m 

⚠️ let’s continue…"
3,Mon Apr 12 02:27:34 +0000 2021,1381433785770708993,"rt @bravetranslate: brave brothers

""i didn't major in music
had no idea 
i still don't know how to read music or code
when i push this bas…"
4,Mon Apr 12 02:27:35 +0000 2021,1381433786534031360,"rt @shinpremiums_: hello, are you looking for cheap and affordable premium accounts? dm us now to avail and also we we're looking for activ…"
5,Mon Apr 12 02:27:35 +0000 2021,1381433786722889733,"rt @bts_onspotify: ✨""tokyo"" has now surpassed 40 million streams on spotify! 

https://t.co/xnoiaqhuc6"
6,Mon Apr 12 02:27:35 +0000 2021,1381433787045703682,"rt @coldcoffee2710: and they danced to the beats of their own music forgetting that the entire world was watching them✨
#dearsidnaaz https:…"
7,Mon Apr 12 02:27:35 +0000 2021,1381433787251355648,music is life.
8,Mon Apr 12 02:27:35 +0000 2021,1381433786966106112,"monday on the scramble : @mcharlesnp w/@stwnewspress , cristy morrison w/@visitstillwater ,the mayor… https://t.co/nqsyswfucd"
9,Mon Apr 12 02:27:35 +0000 2021,1381433787872075780,"@itsethanyaboi i was kind of thinking about creating a spotify playlistlis like ""songs ruined by a single lyric"" 
it might exist already lol"
10,Mon Apr 12 02:27:35 +0000 2021,1381433787993702400,does anybody know why amanda palmer is no.646 most talked about on our #youtube rank? https://t.co/w5tuhjqb1e #music #charts
11,Mon Apr 12 02:27:35 +0000 2021,1381433788022988803,rt @kevinsixx13: @gabby_ucmaroon @heyoka @4humanunity @kristinresistin @krizoangela @brianharris33 @mishymish88 @waynebhay @teddithompsons1…
12,Mon Apr 12 02:27:35 +0000 2021,1381433788018917390,steppin on shit wit 2 straps im da prada man https://t.co/ivz8mfabak
13,Mon Apr 12 02:27:35 +0000 2021,1381433788262146048,"rt @zsauceboi: in 2018, wizkid gave tiwa savage her biggest career song with malo 52m on youtube, 19m on spotify.

since then, non of her s…"
14,Mon Apr 12 02:27:35 +0000 2021,1381433788396371983,rt @audouy: tonight was the first time the #adgawards have recognized a music video with a design award. commercials previously always took…
15,Mon Apr 12 02:27:35 +0000 2021,1381433788568322048,"rt @txt_onspotify: crown
spotify update — [04/10/21]

total — 93,240,269 (+115,349)

#tomorrow_x_together #투모로우바이투게더 @txt_members
https://t…"
16,Mon Apr 12 02:27:35 +0000 2021,1381433788622721026,rt @kyungrismaid: this man has created some of the best songs in kpop by pushing random buttons.. i actually fear his power
17,Mon Apr 12 02:27:35 +0000 2021,1381433788778098695,mac vs pc: the 11 best laptops for music production [2020 update] https://t.co/urfrb9akwe #beats #musicproduction
18,Mon Apr 12 02:27:35 +0000 2021,1381433789029752841,top greatest hits music rock pop now playing sin sin sin - robbie williams on https://t.co/kjkcmqmysz https://t.co/4gbbnrjhcu
19,Mon Apr 12 02:27:35 +0000 2021,1381433789587542019,great music now: this d.j. - warren g on https://t.co/36hdwrmcdr https://t.co/fyyk64drpl
20,Mon Apr 12 02:27:36 +0000 2021,1381433790560489474,rt @tswiftftc: taylor swift was the #1 most streamed artist yesterday (april 10) on global spotify with 51.4m streams (via @spotify_data).
21,Mon Apr 12 02:27:36 +0000 2021,1381433790753607680,i loooove agere music playlists 🍥🍥🍥🍥
22,Mon Apr 12 02:27:36 +0000 2021,1381433791864995840,drop your streaming screenshots here #teamspice
23,Mon Apr 12 02:27:36 +0000 2021,1381433791269367810,"@capitaliszt i am on the autism spectrum, have porphyria, am a music teacher, but spend my days fighting disinforma… https://t.co/mglc5jzozf"
24,Mon Apr 12 02:27:36 +0000 2021,1381433792787673089,"@kitkat_dotson get spotify student, it’s free w it i think! or stream it eel legally 😈"
25,Mon Apr 12 02:27:36 +0000 2021,1381433792842366979,wait...did spotify not update all day?
26,Mon Apr 12 02:27:36 +0000 2021,1381433793160957954,"rt @premiumxhsb: #entertainmentprems 

grab yours guys🥰

🏷 murang netflix, iflix, disney plus, viu, spotify, apple music, chegg, mathway, q…"
27,Mon Apr 12 02:27:36 +0000 2021,1381433793421078528,proof im straight no one can call me gay now
28,Mon Apr 12 02:27:36 +0000 2021,1381433793425313796,"rt @biiiaboards: .@carticocaine sneaks us a clip of her approaching music video ""kleopatra"" 

#billaboard https://t.co/2rktb81ur2"
29,Mon Apr 12 02:27:36 +0000 2021,1381433793555226626,"rt @mahesh_ranbir: ee range richness undali bro music lo @musicthaman 
both in #sarkaruvaaripaata and #ssmb28 https://t.co/f2tuambkvo"
30,Mon Apr 12 02:27:37 +0000 2021,1381433794884931587,"rt @peterozzy: order 10 bottles, they disrupt the music with that nonsense song and  bring your bottles with the bill board and then you re…"
31,Mon Apr 12 02:27:37 +0000 2021,1381433795191144449,rt @challengedac: win cryptocurrency by sharing music with challengedac 🎶🎵🎸🎧 #cryptocurrency #blockchainrewards https://t.co/s6k9ix02yd
32,Mon Apr 12 02:27:37 +0000 2021,1381433795165835264,"rt @popdatamusic: ""fine line"" by @harry_styles has now surpassed 4 billion streams on spotify.

this is his 1st album to achieve this and r…"
33,Mon Apr 12 02:27:37 +0000 2021,1381433795023302660,rt @baddietitan: beyonce was not playing around on check on it. https://t.co/uknkwy5rml
34,Mon Apr 12 02:27:37 +0000 2021,1381433795476254721,"rt @clawonyo04: ⠀

             https://t.co/l32m85js9d
             music club p. o1 ?! 

⠀ https://t.co/67d1k9t252"
35,Mon Apr 12 02:27:37 +0000 2021,1381433795488837632,"rt @mavzkie0727: morning playlist on spotify: ttfc

#grabbahaycation
tala the global repeat
@justsarahg @grabph"
36,Mon Apr 12 02:27:37 +0000 2021,1381433795577020416,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
37,Mon Apr 12 02:27:37 +0000 2021,1381433795870519296,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
38,Mon Apr 12 02:27:37 +0000 2021,1381433796357025795,"rt @dsuga_1993: 'd-2' has surpassed 290m streams on spotify! it is the fastest album by a korean soloist to achieve this milestone.

@bts_t…"
39,Mon Apr 12 02:27:37 +0000 2021,1381433797086941189,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
40,Mon Apr 12 02:27:37 +0000 2021,1381433797342867458,"rt @nct_charts: .@nctsmtown ""resonance pt.2"" has surpassed 200 million streams on spotify. https://t.co/qm5oghdsws"
